DATE: 19/11/2022,  TIME: 0:0:0, VMC:21.82%, HUMIDITY: 82.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:42, VMC:21.90%, HUMIDITY: 81.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:3:45, VMC:21.59%, HUMIDITY: 81.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:3:47, VMC:22.51%, HUMIDITY: 81.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:50, VMC:22.51%, HUMIDITY: 81.40%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:3:53, VMC:22.35%, HUMIDITY: 81.40%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:3:56, VMC:22.43%, HUMIDITY: 81.80%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:3:59, VMC:22.35%, HUMIDITY: 81.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:2, VMC:21.44%, HUMIDITY: 81.80%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:4, VMC:22.20%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:7, VMC:22.35%, HUMIDITY: 82.10%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:4:10, VMC:21.44%, HUMIDITY: 82.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:4:13, VMC:22.28%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:16, VMC:22.35%, HUMIDITY: 81.80%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:4:19, VMC:21.29%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:21, VMC:22.51%, HUMIDITY: 81.90%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:4:24, VMC:21.59%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:27, VMC:22.43%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:30, VMC:22.51%, HUMIDITY: 82.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:4:33, VMC:21.52%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:36, VMC:22.35%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:38, VMC:21.37%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:41, VMC:21.97%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:44, VMC:20.38%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:47, VMC:20.83%, HUMIDITY: 82.30%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:4:50, VMC:20.83%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:53, VMC:21.06%, HUMIDITY: 82.50%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:55, VMC:21.82%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:4:58, VMC:20.91%, HUMIDITY: 82.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:1, VMC:21.06%, HUMIDITY: 82.50%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:4, VMC:21.97%, HUMIDITY: 82.50%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:7, VMC:21.06%, HUMIDITY: 82.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:10, VMC:21.06%, HUMIDITY: 82.50%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:5:13, VMC:20.91%, HUMIDITY: 82.30%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:5:15, VMC:21.97%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:18, VMC:21.06%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:21, VMC:21.06%, HUMIDITY: 82.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:5:24, VMC:21.97%, HUMIDITY: 81.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:5:27, VMC:20.99%, HUMIDITY: 81.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:30, VMC:21.90%, HUMIDITY: 81.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:32, VMC:21.06%, HUMIDITY: 81.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:5:35, VMC:21.97%, HUMIDITY: 81.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:38, VMC:21.82%, HUMIDITY: 81.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:5:41, VMC:21.90%, HUMIDITY: 81.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:44, VMC:20.99%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:47, VMC:20.91%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:49, VMC:20.91%, HUMIDITY: 82.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:5:52, VMC:20.91%, HUMIDITY: 81.80%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:55, VMC:21.82%, HUMIDITY: 81.80%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:5:58, VMC:21.82%, HUMIDITY: 81.80%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:1, VMC:20.91%, HUMIDITY: 81.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:6:4, VMC:20.76%, HUMIDITY: 82.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:6:6, VMC:20.91%, HUMIDITY: 82.20%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:6:9, VMC:21.82%, HUMIDITY: 81.80%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:12, VMC:21.82%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:15, VMC:21.82%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:18, VMC:21.82%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:21, VMC:20.91%, HUMIDITY: 82.20%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:6:23, VMC:20.91%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:26, VMC:21.82%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:29, VMC:20.91%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:32, VMC:20.91%, HUMIDITY: 82.20%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:6:35, VMC:20.91%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:38, VMC:21.90%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:40, VMC:19.54%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:43, VMC:21.82%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:46, VMC:21.82%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:49, VMC:21.82%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:52, VMC:20.91%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:55, VMC:21.97%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:6:57, VMC:20.99%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:0, VMC:20.99%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:3, VMC:20.99%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:6, VMC:20.91%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:9, VMC:20.91%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:12, VMC:20.91%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:14, VMC:20.83%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:17, VMC:21.82%, HUMIDITY: 81.70%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:20, VMC:21.75%, HUMIDITY: 81.70%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:23, VMC:20.76%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:26, VMC:21.59%, HUMIDITY: 81.50%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:29, VMC:20.61%, HUMIDITY: 81.50%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:32, VMC:20.53%, HUMIDITY: 81.40%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:34, VMC:19.77%, HUMIDITY: 81.60%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:37, VMC:18.93%, HUMIDITY: 81.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:40, VMC:20.07%, HUMIDITY: 81.50%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:43, VMC:20.83%, HUMIDITY: 81.60%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:46, VMC:21.14%, HUMIDITY: 81.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:49, VMC:20.30%, HUMIDITY: 81.50%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:51, VMC:20.30%, HUMIDITY: 81.50%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:7:54, VMC:20.38%, HUMIDITY: 81.50%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:7:57, VMC:20.38%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:0, VMC:20.30%, HUMIDITY: 81.50%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:3, VMC:20.15%, HUMIDITY: 81.40%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:6, VMC:20.23%, HUMIDITY: 81.30%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:8, VMC:21.21%, HUMIDITY: 81.30%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:11, VMC:20.30%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:14, VMC:21.37%, HUMIDITY: 81.40%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:17, VMC:21.37%, HUMIDITY: 81.20%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:20, VMC:20.45%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:23, VMC:20.45%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:25, VMC:20.45%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:28, VMC:20.53%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:31, VMC:20.38%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:34, VMC:20.30%, HUMIDITY: 81.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:37, VMC:20.30%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:40, VMC:20.45%, HUMIDITY: 81.30%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:42, VMC:21.37%, HUMIDITY: 81.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:45, VMC:20.45%, HUMIDITY: 81.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:48, VMC:20.30%, HUMIDITY: 81.30%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:51, VMC:21.29%, HUMIDITY: 81.20%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:54, VMC:20.23%, HUMIDITY: 81.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:8:57, VMC:21.29%, HUMIDITY: 81.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:8:59, VMC:21.37%, HUMIDITY: 81.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:9:2, VMC:19.54%, HUMIDITY: 81.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:9:5, VMC:20.30%, HUMIDITY: 81.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:8, VMC:20.30%, HUMIDITY: 81.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:9:11, VMC:20.30%, HUMIDITY: 81.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:14, VMC:21.21%, HUMIDITY: 80.80%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:16, VMC:21.21%, HUMIDITY: 80.60%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:19, VMC:20.30%, HUMIDITY: 80.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:9:22, VMC:20.30%, HUMIDITY: 80.70%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:25, VMC:21.21%, HUMIDITY: 80.60%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:28, VMC:20.45%, HUMIDITY: 80.60%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:31, VMC:20.45%, HUMIDITY: 80.40%,  TEMP: 16.30°C
DATE: 19/11/2022,  TIME: 0:9:33, VMC:21.37%, HUMIDITY: 80.40%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:36, VMC:20.45%, HUMIDITY: 80.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:39, VMC:21.37%, HUMIDITY: 80.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:42, VMC:21.37%, HUMIDITY: 80.30%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:45, VMC:20.45%, HUMIDITY: 80.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:9:48, VMC:21.37%, HUMIDITY: 80.30%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:51, VMC:20.38%, HUMIDITY: 80.20%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:53, VMC:20.45%, HUMIDITY: 80.20%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:56, VMC:21.29%, HUMIDITY: 79.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:9:59, VMC:20.45%, HUMIDITY: 80.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:2, VMC:21.29%, HUMIDITY: 79.70%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:5, VMC:20.45%, HUMIDITY: 79.70%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:8, VMC:20.45%, HUMIDITY: 80.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:10:10, VMC:20.53%, HUMIDITY: 80.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:13, VMC:21.44%, HUMIDITY: 79.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:16, VMC:20.53%, HUMIDITY: 79.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:19, VMC:20.53%, HUMIDITY: 79.70%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:22, VMC:20.53%, HUMIDITY: 80.10%,  TEMP: 16.30°C
DATE: 19/11/2022,  TIME: 0:10:25, VMC:21.44%, HUMIDITY: 80.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:27, VMC:21.44%, HUMIDITY: 80.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:30, VMC:20.45%, HUMIDITY: 80.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:33, VMC:20.53%, HUMIDITY: 80.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:36, VMC:20.38%, HUMIDITY: 80.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:39, VMC:20.45%, HUMIDITY: 80.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:10:42, VMC:20.45%, HUMIDITY: 80.10%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:44, VMC:20.53%, HUMIDITY: 80.60%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:47, VMC:20.53%, HUMIDITY: 80.80%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:50, VMC:20.45%, HUMIDITY: 80.80%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:53, VMC:21.37%, HUMIDITY: 80.90%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:10:56, VMC:20.45%, HUMIDITY: 81.10%,  TEMP: 16.20°C
